"country_id","season","stage","match_api_id","home_team_api_id","away_team_api_id","Goal_Diff_Home_10.Games","Goal_Diff_away_10.Games","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","PSH","PSD","PSA","WHH","WHD","WHA","SJH","SJD","SJA","VCH","VCD","VCA","GBH","GBD","GBA","BSH","BSD","BSA","buildUpPlaySpeed_home","buildUpPlaySpeedClass_home","buildUpPlayDribblingClass_home","buildUpPlayPassing_home","buildUpPlayPassingClass_home","buildUpPlayPositioningClass_home","chanceCreationPassing_home","chanceCreationPassingClass_home","chanceCreationCrossing_home","chanceCreationCrossingClass_home","chanceCreationShooting_home","chanceCreationShootingClass_home","chanceCreationPositioningClass_home","defencePressure_home","defencePressureClass_home","defenceAggression_home","defenceAggressionClass_home","defenceTeamWidth_home","defenceTeamWidthClass_home","defenceDefenderLineClass_home","buildUpPlaySpeed1_away","buildUpPlaySpeedClass1_away","buildUpPlayDribblingClass1_away","buildUpPlayPassing1_away","buildUpPlayPassingClass1_away","buildUpPlayPositioningClass1_away","chanceCreationPassing1_away","chanceCreationPassingClass1_away","chanceCreationCrossing1_away","chanceCreationCrossingClass1_away","chanceCreationShooting1_away","chanceCreationShootingClass1_away","chanceCreationPositioningClass1_away","defencePressure1_away","defencePressureClass1_away","defenceAggression1_away","defenceAggressionClass1_away","defenceTeamWidth1_away","defenceTeamWidthClass1_away","defenceDefenderLineClass1_away","outcome"
1,"2012/2013",1,1223980,9998,1773,-2,-5,38,41,4.33,1.75,3.7,4.2,1.8,3.2,3.7,1.73,3.4,4.33,1.83,3.79,4.63,1.73,3.5,4.33,1.73,3.6,4.5,1.8,3.6,4.5,1.75,3.7,4.2,1.8,3.5,4,50,"Balanced","Little",50,"Mixed","Organised",55,"Normal",48,"Normal",46,"Normal","Organised",46,"Medium",45,"Press",47,"Normal","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","1"
1,"2012/2013",3,1224001,9991,1773,13,-8,20,56,8.5,1.35,4.5,7.25,1.35,4.2,7,1.33,4.5,8,1.36,5.45,9.51,1.3,4.8,8.5,1.36,4.5,8,1.33,5.25,9,1.35,4.5,7.25,1.36,4.75,7,70,"Fast","Little",65,"Mixed","Organised",60,"Normal",50,"Normal",60,"Normal","Organised",45,"Medium",50,"Press",40,"Normal","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","3"
1,"2012/2013",8,1224044,9994,1773,9,-8,30,46,5.75,1.57,3.6,5.5,1.55,3.7,5,1.57,3.6,5.5,1.61,4.12,6,1.6,3.75,5,1.57,3.8,5.8,1.57,4,6,1.57,3.6,5.5,1.62,3.75,5,60,"Balanced","Little",60,"Mixed","Organised",50,"Normal",40,"Normal",50,"Normal","Organised",65,"Medium",65,"Press",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","3"
1,"2012/2013",10,1224058,9986,1773,-13,-8,54,39,3.4,2.15,3.3,3,2.1,3.2,3.1,2.2,3.25,3,2.19,3.63,3.34,2.2,3.2,3.1,2.1,3.3,3.3,2.2,3.5,3.3,2.15,3.3,3,2.1,3.3,3.1,40,"Balanced","Little",50,"Mixed","Organised",45,"Normal",43,"Normal",60,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","2"
1,"2012/2013",12,1224074,9993,1773,11,-4,38,44,4,1.83,3.5,3.7,1.8,3.2,4,1.8,3.5,3.8,1.86,4.04,4.08,1.83,3.4,4,1.83,3.6,4,1.83,3.9,4,1.83,3.5,3.7,1.83,3.4,3.8,35,"Balanced","Little",35,"Mixed","Organised",45,"Normal",40,"Normal",50,"Normal","Organised",70,"High",70,"Double",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","2"
1,"2012/2013",14,1224088,9985,1773,17,-2,30,46,5.5,1.6,3.6,5,1.6,3.6,4.8,1.53,3.8,5.5,1.56,4.46,6.13,1.57,3.8,5,1.57,4,5.5,1.55,4.3,6,1.6,3.6,5,1.57,3.8,5,53,"Balanced","Little",40,"Mixed","Organised",55,"Normal",55,"Normal",65,"Normal","Organised",70,"High",70,"Double",65,"Normal","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","1"
1,"2012/2013",17,1224113,9987,1773,19,-4,30,47,5.5,1.55,4.1,4.75,1.5,3.9,5.4,1.53,3.8,5.5,1.56,4.58,5.79,1.5,4,5.5,1.53,4,6,1.55,4.5,6,1.55,4.1,4.75,1.57,3.75,5.5,45,"Balanced","Little",45,"Mixed","Organised",50,"Normal",35,"Normal",60,"Normal","Organised",70,"High",65,"Press",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","3"
1,"2012/2013",19,1224134,9984,1773,-1,-3,52,40,3.6,2,3.25,3.4,1.9,3.2,3.6,2,3.4,3.4,1.99,3.89,3.68,2,3.5,3.3,2,3.4,3.6,2,3.8,3.6,2,3.25,3.4,2,3.4,3.3,45,"Balanced","Little",35,"Mixed","Organised",70,"Risky",45,"Normal",55,"Normal","Organised",65,"Medium",60,"Press",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","3"
1,"2012/2013",22,1224155,10000,1773,6,3,30,46,5.5,1.6,3.75,4.75,1.55,3.7,5,1.61,3.6,4.33,1.6,4.35,5.75,1.6,3.8,5,1.57,4,5.25,1.6,4.2,5.5,1.6,3.75,4.75,1.62,3.75,5,65,"Balanced","Little",60,"Mixed","Organised",60,"Normal",40,"Normal",50,"Normal","Organised",70,"High",60,"Press",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","1"
1,"2012/2013",26,1224183,8342,1773,26,2,23,56,6.5,1.4,4.6,6,1.4,4,6.5,1.4,3.75,7,1.41,5.08,8.01,1.4,4.33,7,1.4,4.5,7.5,1.4,4.8,8,1.4,4.6,6,1.4,4.33,6.5,35,"Balanced","Little",40,"Mixed","Organised",45,"Normal",50,"Normal",45,"Normal","Organised",60,"Medium",70,"Double",70,"Wide","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","1"
1,"2012/2013",28,1224205,8203,1773,-3,0,34,41,5.25,1.67,3.5,4.6,1.65,3.5,4.5,1.66,3.5,4.5,1.7,4.04,5.17,1.65,3.75,4.6,1.73,3.6,4.8,1.67,3.9,5,1.67,3.5,4.6,1.7,3.6,4.5,65,"Balanced","Little",60,"Mixed","Organised",50,"Normal",40,"Normal",50,"Normal","Organised",60,"Medium",70,"Double",60,"Normal","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","2"
1,"2012/2013",30,1224220,8571,1773,9,1,42,41,3.8,1.85,3.4,3.75,1.8,3.2,4,1.83,3.4,3.5,1.89,3.74,4.25,1.83,3.3,4,1.9,3.4,4,1.87,3.7,4,1.85,3.4,3.75,1.91,3.4,3.75,50,"Balanced","Little",60,"Mixed","Organised",50,"Normal",50,"Normal",50,"Normal","Organised",60,"Medium",60,"Press",65,"Normal","Cover",52,"Balanced","Little",50,"Mixed","Organised",50,"Normal",53,"Normal",54,"Normal","Organised",43,"Medium",44,"Press",50,"Normal","Cover","3"
17642,"2012/2013",2,1256220,10215,2033,0,3,52,39,3.6,2.05,3.1,3.7,2.1,3,3.3,2,3,3.4,2.12,3.34,3.87,2.05,3.1,3.6,2.1,3.13,3.5,2.1,3.3,3.8,2.05,3.1,3.7,2.05,3.1,3.5,30,"Slow","Little",30,"Short","Organised",50,"Normal",60,"Normal",55,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Offside Trap",45,"Balanced","Little",55,"Mixed","Organised",50,"Normal",60,"Normal",45,"Normal","Free Form",50,"Medium",45,"Press",60,"Normal","Cover","3"
17642,"2012/2013",4,1256300,10238,2033,-11,3,65,35,2.8,2.65,3.1,2.65,2.5,3,2.7,2.5,3,2.6,2.69,3.27,2.87,2.6,3,2.7,2.63,3.13,2.75,2.62,3.25,2.8,2.65,3.1,2.65,2.7,3.2,2.5,30,"Slow","Little",30,"Short","Organised",60,"Normal",50,"Normal",55,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",45,"Balanced","Little",55,"Mixed","Organised",50,"Normal",60,"Normal",45,"Normal","Free Form",50,"Medium",45,"Press",60,"Normal","Cover","1"
17642,"2012/2013",6,1256473,10264,2033,15,3,23,48,9,1.4,4,8.75,1.4,3.9,7,1.36,4,7.5,1.41,4.72,9.26,1.4,4.2,7.5,1.4,4,8,1.4,4.6,9,1.4,4,8.75,1.4,4,7.5,30,"Slow","Little",30,"Short","Organised",55,"Normal",50,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Cover",45,"Balanced","Little",55,"Mixed","Organised",50,"Normal",60,"Normal",45,"Normal","Free Form",50,"Medium",45,"Press",60,"Normal","Cover","3"
17642,"2012/2013",8,1256552,6403,2033,1,2,43,40,3.8,2,3.1,3.9,2,2.9,3.7,1.91,3.2,3.4,1.98,3.54,4.16,2,3.2,3.6,2,3.3,3.75,1.95,3.5,4.1,2,3.1,3.9,2,3.25,3.5,30,"Slow","Little",30,"Short","Organised",50,"Normal",60,"Normal",60,"Normal","Organised",30,"Deep",30,"Contain",30,"Narrow","Offside Trap",45,"Balanced","Little",55,"Mixed","Organised",50,"Normal",60,"Normal",45,"Normal","Free Form",50,"Medium",45,"Press",60,"Normal","Cover","3"
